Date;FTSEMIB.MI;^AEX;^FCHI;^FTAS;^GDAXI;^GSPC;^IBEX;^N225;^OMX;^SSMI
2005-02-24;31403.0;370.290009;3977.669922;2493.189941;4304.290039;1200.199951;9352.599609;11531.150391;761.6099849999999;5886.200195
2005-02-25;31744.0;374.559998;4034.570068;2510.719971;4348.640136999999;1211.369995;9439.700195;11658.25;769.8900150000001;5936.200195
2005-02-28;31850.0;374.369995;4027.1599119999996;2495.459961;4350.490234000001;1203.599976;9391.0;11740.599609;769.969971;5931.299805
2005-03-01;31949.0;375.709991;4054.9799799999996;2510.040039;4383.620117;1210.410034;9472.299805;11780.530273;772.090027;5975.450195
2005-03-02;31933.0;376.269989;4062.719971;2506.139893;4393.430176;1210.079956;9443.599609;11813.709961;776.539978;6013.359863000001
2005-03-03;31902.0;376.160004;4061.350098;2515.97998;4373.27002;1210.469971;9418.799805;11856.459961;775.549988;5998.810059
2005-03-04;32160.0;378.649994;4091.580078;2527.25;4423.52002;1222.119995;9538.0;11873.049805;784.169983;6009.339844
2005-03-07;32236.0;379.76001;4108.0;2522.939941;4428.089844;1225.310059;9545.900391;11925.360352;780.469971;6014.580078
2005-03-08;32048.0;377.679993;4085.3798829999996;2514.72998;4396.5;1219.430054;9480.200195;11886.910156;775.780029;5980.200195
2005-03-09;31963.0;376.320007;4066.6899409999996;2508.1201170000004;4375.600098;1207.01001;9410.299805;11966.69043;775.630005;5965.490234000001
2005-03-10;31702.0;372.600006;4038.209961;2492.840088;4337.680176;1209.25;9319.400391;11864.910156;766.6400150000001;5945.669922
2005-03-11;31680.0;372.149994;4049.179932;2502.830078;4360.490234000001;1200.079956;9330.200195;11923.889648;771.219971;5971.919922
2005-03-14;31717.0;372.160004;4048.5500490000004;2499.360107;4367.299805;1206.829956;9296.5;11850.25;773.369995;5963.0
2005-03-15;31966.0;373.880005;4077.73999;2510.100098;4387.689941;1197.75;9354.700195;11821.089844;778.349976;6011.450195
2005-03-16;31577.0;368.369995;4019.399902;2481.399902;4309.109863000001;1188.069946;9201.200195;11873.179688;765.429993;5944.75
2005-03-17;31639.0;368.359985;4032.070068;2474.3701170000004;4315.919922;1190.209961;9235.799805;11775.5;766.599976;5929.049805
2005-03-18;31868.0;369.839996;4050.7700200000004;2476.209961;4327.180176;1189.650024;9263.900391;11879.80957;764.26001;5897.040039
2005-03-21;31929.0;369.059998;4033.0;2480.52002;4296.359863000001;1183.780029;9225.400391;;760.169983;5907.680176
2005-03-22;31965.0;369.670013;4047.179932;2480.1201170000004;4320.689941;1171.709961;9299.200195;11841.969727;766.320007;5915.600098
2005-03-23;31905.0;369.059998;4032.4099119999996;2462.790039;4317.200195;1172.530029;9252.099609;11739.120117;769.1099849999999;5925.970215
2005-03-24;32115.0;371.619995;4078.3100590000004;2470.580078;4343.600098;1171.420044;9309.299805;11745.969727;770.47998;5935.450195
2005-03-25;32115.0;;;;;;;11761.099609;770.47998;5935.450195
2005-03-28;32115.0;;;;;1174.280029;;11792.299805;770.47998;5935.450195
2005-03-29;32181.0;371.47000099999997;4081.649902;2467.6298829999996;4351.890136999999;1165.359985;9324.099609;11599.820313;771.080017;5959.759765999999
2005-03-30;32206.0;368.980011;4064.610107;2457.6201170000004;4347.52002;1181.410034;9280.099609;11565.879883;769.48999;5932.910156
2005-03-31;32302.0;369.559998;4067.780029;2457.72998;4348.77002;1180.589966;9258.799805;11668.950195;770.3900150000001;5929.700195
2005-04-01;32481.0;368.200012;4080.080078;2468.459961;4373.529785;1172.920044;9289.5;11723.629883;778.6400150000001;5950.879883
2005-04-04;32355.0;366.910004;4052.320068;2458.689941;4341.390136999999;1176.119995;9206.0;11667.540039;775.460022;5903.169922
2005-04-05;32385.0;369.070007;4087.9399409999996;2479.159912;4362.609863000001;1181.390015;9298.099609;11774.30957;784.130005;5947.439941
2005-04-06;32508.0;371.170013;4106.990234000001;2483.840088;4379.180176;1184.069946;9382.099609;11827.160156;789.3900150000001;6002.379883
2005-04-07;32856.0;372.790009;4124.370117;2497.530029;4389.52002;1191.140015;9392.400391;11810.990234;788.289978;6023.709961
2005-04-08;32812.0;373.609985;4124.290039;2501.889893;4400.680176;1181.199951;9385.799805;11874.75;791.090027;6016.569824
2005-04-11;32852.0;372.329987;4117.620117;2496.439941;4396.089844;1181.209961;9334.799805;11745.639648;792.299988;6014.709961
2005-04-12;32669.0;370.309998;4096.810059;2484.550049;4372.120117;1187.76001;9303.099609;11670.299805;787.77002;5988.140136999999
2005-04-13;32698.0;370.679993;4116.850098;2491.550049;4405.689941;1173.790039;9373.900391;11637.519531;791.830017;6012.319824
2005-04-14;32587.0;368.899994;4111.109863000001;2481.080078;4402.049805;1162.050049;9364.5;11563.169922;796.369995;6030.470215
2005-04-15;31816.0;364.26001;4032.280029;2453.899902;4312.25;1142.619995;9155.200195;11370.69043;784.289978;6018.970215
2005-04-18;31052.0;355.880005;3949.5900880000004;2418.790039;4202.200195;1145.97998;9025.799805;10938.44043;772.8599849999999;5925.419922
2005-04-19;31087.0;356.649994;3962.389893;2434.23999;4204.609863000001;1152.780029;9046.200195;11065.860352;773.900024;5977.890136999999
2005-04-20;31025.0;353.890015;3950.0200200000004;2419.590088;4178.620117;1137.5;9016.599609;11088.580078;773.099976;5914.660156
2005-04-21;31161.0;353.26001;3951.0200200000004;2418.070068;4193.700195;1159.949951;9018.700195;10984.389648;775.280029;5902.990234000001
2005-04-22;31325.0;356.179993;3980.179932;2432.850098;4223.040039;1152.119995;9096.400391;11045.950195;785.960022;5912.850098
2005-04-25;31364.0;357.100006;3993.070068;2439.449951;4246.959961;1162.099976;9106.200195;11073.769531;786.159973;5899.930176
2005-04-26;31322.0;356.190002;3993.040039;2428.050049;4233.759765999999;1151.829956;9083.700195;11035.830078;780.320007;5914.040039
2005-04-27;30946.0;350.52999900000003;3927.679932;2397.899902;4189.02002;1156.380005;8985.0;11005.419922;757.049988;5840.549805
2005-04-28;30841.0;346.950012;3911.4499509999996;2393.290039;4178.100098;1143.219971;8985.400391;11008.900391;748.23999;5850.129883
2005-04-29;30911.0;348.200012;3911.709961;2397.050049;4184.839844;1156.849976;9001.599609;;749.539978;5870.790039
2005-05-02;31150.0;348.369995;3938.7700200000004;;4224.02002;1162.160034;9119.900391;11002.110352;754.789978;5924.640136999999
2005-05-03;31224.0;349.079987;3955.929932;2424.590088;4245.540039;1161.170044;9168.299805;;757.6400150000001;5933.740234000001
